match_id,date,home_team_id,away_team_id,league_id,league_name,home_team_name,away_team_name,CTMCL,avg_goals_market,team_a_xg_prematch,team_b_xg_prematch,pre_match_home_ppg,pre_match_away_ppg,home_xg_avg,away_xg_avg,home_xg_momentum,away_xg_momentum,home_goals_conceded_avg,away_goals_conceded_avg,o25_potential,o35_potential,home_shots_accuracy_avg,away_shots_accuracy_avg,home_dangerous_attacks_avg,away_dangerous_attacks_avg,h2h_total_goals_avg,home_form_points,away_form_points,home_elo,away_elo,elo_diff,league_avg_goals,odds_ft_1_prob,odds_ft_2_prob,btts_potential,o05_potential,o15_potential,o45_potential,odds_ft_over25,odds_ft_under25,odds_ft_1,odds_ft_x,odds_ft_2
8238526,2025-11-08,90,456,15068,0,Juventus,Torino,2.5128205128205128,2.3,2.17,1.3,2.0,1.0,2.51,1.31,0,0,1.0,1.5,50,40,0.46511627906976744,0.4166666666666667,63.5,28.0,0,10.0,5.0,1500,1500,0,2.26,0.6195817727242248,0.141752799517209,50,80,70,30,1.95,1.79,1.51,3.92,6.6
8200524,2025-11-08,117,292,14956,0,Atlético Madrid,Levante UD,2.6944444444444446,2.0,1.78,1.32,3.0,2.33,1.88,1.75,0,0,0.33,1.33,42,25,0.4467134652201659,0.375,54.67,44.33,0,15.0,11.65,1500,1500,0,2.66,0.7717427488943022,0.0812007587967048,50,100,92,17,1.44,2.75,1.21,6.35,11.5
8223622,2025-11-08,156,59,15050,0,Sunderland,Arsenal,2.5405405405405403,2.1,1.32,1.58,2.0,3.0,1.4,1.66,0,0,0.5,0.0,30,0,0.2,0.6153846153846154,58.5,38.0,0,10.0,15.0,1500,1500,0,2.68,0.1337672159859883,0.6641589045458164,40,100,70,0,1.85,1.95,7.1,4.7,1.43
8227779,2025-11-08,39,41,14968,0,Borussia M'gladbach,Köln,2.606060606060606,2.5,1.3,1.17,1.33,1.5,1.32,0.8,0,0,1.33,0.5,50,40,0.4166666666666667,0.26666666666666666,28.67,25.0,0,6.65,7.5,1500,1500,0,3.17,0.4117530532792685,0.321195680736749,30,80,50,20,1.65,2.25,2.27,3.5,2.91
8007544,2025-11-08,398,385,14936,0,Volendam,NAC Breda,2.625,2.3,1.39,1.14,3.0,1.0,1.68,1.31,0,0,0.0,3.0,80,30,0.5384615384615384,0.36363636363636365,50.0,46.0,0,15.0,5.0,1500,1500,0,3.43,0.3610310278879913,0.3770445008991522,70,100,100,10,1.6,2.35,2.59,3.57,2.48
8193742,2025-11-08,165,1037,15717,0,GD Chaves,Porto II,2.520833333333333,2.0,1.62,1.43,1.5,0.5,1.73,1.76,0,0,1.0,1.5,25,25,0.2727272727272727,0.3333333333333333,52.5,65.0,0,7.5,2.5,1500,1500,0,2.57,0.5235000600147465,0.21548723400607,50,100,75,0,1.92,1.78,1.77,3.55,4.3
8193753,2025-11-08,1031,4841,15717,0,Benfica II,FC Vizela,2.555555555555556,2.0,2.22,1.47,1.33,0.5,1.99,1.13,0,0,2.0,1.0,40,10,0.3395585738539898,0.17391304347826086,64.0,36.5,0,6.65,2.5,1500,1500,0,2.57,0.3610108303249097,0.3682310469314079,80,100,90,10,1.8,1.9,2.55,3.4,2.5
8206624,2025-11-08,493,440,14932,0,Le Havre,Nantes,2.4444444444444446,2.4,1.49,0.99,2.0,2.0,1.23,0.81,0,0,1.0,0.5,50,30,0.21739130434782608,0.17647058823529413,45.5,22.0,0,10.0,10.0,1500,1500,0,2.93,0.4676137984891946,0.2410380404583477,60,90,60,0,2.25,1.6,2.0,3.21,3.88
8007537,2025-11-08,387,373,14936,0,Fortuna Sittard,Heerenveen,2.613496932515337,2.4,1.64,1.47,1.5,2.33,1.43,1.78,0,0,1.0,1.0,60,40,0.24,0.4375,58.0,39.0,0,7.5,11.65,1500,1500,0,3.43,0.3339676498572788,0.3996194100856327,70,100,70,20,1.63,2.3,2.8,3.51,2.34
8238690,2025-11-08,476,461,15068,0,Parma,AC Milan,2.5128205128205128,2.15,1.0,1.29,0.33,1.0,0.95,0.99,0,0,1.33,0.5,33,10,0.2222222222222222,0.2631578947368421,32.33,28.0,0,1.6500000000000001,5.0,1500,1500,0,2.26,0.1797087723452113,0.5663549189061206,43,78,68,0,1.95,1.85,5.2,3.68,1.65
8007545,2025-11-08,380,371,14936,0,PEC Zwolle,Sparta Rotterdam,2.588235294117647,2.2,0.85,1.4,0.5,3.0,0.83,0.73,0,0,3.0,0.0,50,30,0.42857142857142855,0.25,23.5,12.0,0,2.5,15.0,1500,1500,0,3.43,0.3592668024439918,0.3812627291242362,20,100,80,10,1.7,2.15,2.6,3.6,2.45
8200533,2025-11-08,280,76,14956,0,RCD Espanyol,Villarreal,2.581395348837209,2.2,1.58,1.11,1.5,2.0,1.73,2.06,0,0,1.0,0.33,54,27,0.4,0.43971205758848225,50.5,68.67,0,7.5,10.0,1500,1500,0,2.66,0.3291629431039618,0.3872505212987786,64,100,84,9,1.72,2.05,2.8,3.25,2.38
8223627,2025-11-08,152,223,15050,0,Chelsea,Wolverhampton Wanderers,2.625,2.2,1.7,1.05,1.5,0.0,2.37,1.27,0,0,1.5,2.5,40,10,0.4473684210526316,0.23809523809523808,79.5,58.5,0,7.5,0.0,1500,1500,0,2.68,0.7188498402555911,0.1054313099041533,40,90,70,0,1.6,2.35,1.32,5.4,9.0
8206613,2025-11-08,56,449,14932,0,Monaco,Lens,2.625,2.3,1.55,1.04,1.33,1.5,1.63,0.99,0,0,0.33,1.5,54,34,0.29802169751116786,0.35294117647058826,43.0,31.0,0,6.65,7.5,1500,1500,0,2.93,0.4721405645379009,0.2798917119116897,54,90,74,17,1.6,2.35,1.98,3.77,3.34
8342721,2025-11-08,677446,677447,13973,0,Inter Miami,Nashville SC,2.719424460431654,2.39,1.51,1.52,3.0,1.33,1.93,1.25,0,0,0.67,1.67,74,45,0.5105296745373324,0.293909973521624,52.0,40.67,0,15.0,6.65,1500,1500,0,3.0,0.6360424028268551,0.1731448763250883,70,94,85,28,1.39,3.12,1.47,4.9,5.4
8282855,2025-11-08,1423,1449,15234,0,Tigres UANL,Atlético San Luis,2.6666666666666665,2.2199999999999998,1.87,1.26,2.33,1.5,1.84,1.48,0,0,1.33,1.0,47,31,0.34721371708511944,0.2857142857142857,56.33,44.0,0,11.65,7.5,1500,1500,0,3.1,0.6572128521624422,0.1441628191840196,57,94,75,22,1.5,2.4,1.36,4.5,6.2
8282951,2025-11-08,1431,1430,15234,0,Guadalajara,Monterrey,2.555555555555556,2.35,1.53,1.59,3.0,0.5,1.51,1.24,0,0,0.5,2.0,60,38,0.37037037037037035,0.34782608695652173,42.0,32.0,0,15.0,2.5,1500,1500,0,3.1,0.4115685873556371,0.3144731811837087,57,97,75,22,1.8,2.0,2.17,3.26,2.84
